Year;Country of production;Coffee bean;Department;Municipality of export;Exporter;Exporter group;Importer;Importer group;Country of destination;Economic bloc;Department trase id;Country of production (Trase ID);Country of destination (Trase ID);Trade volume;Trade value
2012;COLOMBIA;GREEN;HUILA;BUENAVENTURA;CIA CAFETERA LA MESETA S A;CIA CAFETERA LA MESETA S A;PERSNAM CORP;PERSNAM CORP;TAIWAN;TAIWAN;CO-41;CO;TW;18,205;96323,38
2012;COLOMBIA;GREEN;CAUCA;BUENAVENTURA;FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA;FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA;UNKNOWN;UNKNOWN;SOUTH KOREA;SOUTH KOREA;CO-19;CO;KR;207,4951905;886148,8575
2012;COLOMBIA;GREEN;HUILA;BUENAVENTURA;SKN CARIBECAFE LTD;SKN CARIBECAFE LTD;BERNHARD ROTHFOS INTERCAFE;BERNHARD ROTHFOS INTERCAFE;LATVIA;EUROPEAN UNION;CO-41;CO;LV;38,499;156262,02
2012;COLOMBIA;GREEN;QUINDIO;BUENAVENTURA;S LAUMAYER Y CIA EXPORTADORES DE CAFE S A;S LAUMAYER Y CIA EXPORTADORES DE CAFE S A;COFFEE AMERICA USA;COFFEE AMERICA USA;UNITED STATES;UNITED STATES;CO-63;CO;US;230,86;872614,93
2012;COLOMBIA;GREEN;ANTIOQUIA;CARTAGENA DE INDIAS;TRILLADORA UNION S A;TRILLADORA UNION S A;UNKNOWN;UNKNOWN;SPAIN;EUROPEAN UNION;CO-05;CO;ES;19,276;72752,92
2012;COLOMBIA;GREEN;ANTIOQUIA;CARTAGENA DE INDIAS;S LAUMAYER Y CIA EXPORTADORES DE CAFE S A;S LAUMAYER Y CIA EXPORTADORES DE CAFE S A;COFFEIN COMPAGNIE;COFFEIN COMPAGNIE;GERMANY;EUROPEAN UNION;CO-05;CO;DE;41,98;189953,46
2012;COLOMBIA;GREEN;NARINO;CARTAGENA DE INDIAS;SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D;SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D;UNKNOWN;UNKNOWN;BELGIUM;EUROPEAN UNION;CO-52;CO;BE;2963,273872;15872877,97
2012;COLOMBIA;ROASTED;CALDAS;CARTAGENA DE INDIAS;DESCAFEINADORA COLOMBIANA S A S;DESCAFEINADORA COLOMBIANA S A S;A HOLLIDAY & COMP INC;A HOLLIDAY & COMP INC;CANADA;CANADA;CO-17;CO;CA;8,4375;73102,5
2012;COLOMBIA;PROCESSED;TOLIMA;SANTAFE DE BOGOTA;COLOMBIAN MOUNTAIN COFFEE C I S A S;COLOMBIAN MOUNTAIN COFFEE C I S A S;TACA INTL AIRLINES S A;TACA INTL AIRLINES S A;PERU;PERU;CO-73;CO;PE;8,31625;92664
2012;COLOMBIA;GREEN;RISARALDA;CARTAGENA DE INDIAS;TERESITA EXPORTADORES DE CAFE S A;TERESITA EXPORTADORES DE CAFE S A;ORIGIN TRADERS;ORIGIN TRADERS;AUSTRALIA;AUSTRALIA;CO-66;CO;AU;19,229;82724,24
2012;COLOMBIA;GREEN;CESAR;CARTAGENA DE INDIAS;NOBLE COL S A S  COLOMBIAN COMMODITY GROUP C I S A S;NOBLE;UNKNOWN;UNKNOWN;UNITED KINGDOM;EUROPEAN UNION;CO-20;CO;GB;19,224;115703,39
2012;COLOMBIA;GREEN;HUILA;BUENAVENTURA;SKN CARIBECAFE LTD;SKN CARIBECAFE LTD;SHINHAN BANK SEOUL;SHINHAN BANK SEOUL;SOUTH KOREA;SOUTH KOREA;CO-41;CO;KR;17,5;89892,5
2012;COLOMBIA;GREEN;ANTIOQUIA;CARTAGENA DE INDIAS;OUTSPAN COLOMBIA S A S C I;OUTSPAN COLOMBIA S A S C I;UNKNOWN;UNKNOWN;TURKEY;TURKEY;CO-05;CO;TR;10,57732856;51068,12373
